ID,Nombre,Estado,URL,Fecha de Actualización
2,SIGU Intranet,online,https://sigu.autonomadeica.edu.pe,2024-11-21 16:08:16
3,ELIBRO,online,https://elibro.net/es/lc/autonomadeica/inicio,2024-11-21 16:08:16
4,Repositorio,online,https://repositorio.autonomadeica.edu.pe,2024-11-21 16:08:16
6,Goggle,online,https://www.google.com,2024-11-21 16:08:16
7,SIGU ADMIN,online,https://sigu.autonomadeica.edu.pe/admin/inicio,2024-11-21 16:08:16
8,SIGU ALUMNO,online,https://sigu.autonomadeica.edu.pe/alumno/entrar,2024-11-21 16:08:16
11,DIPI 2,online,https://dipi.autonomadeica.edu.pe/rai,2024-11-21 16:08:16
12,GITHUB,online,https://github.com,2024-11-21 16:08:16
13,JEDU,online,https://autonomadeica.jedu.pe,2024-11-21 16:08:16
17,GOOGLE 2,online,https://www.google.com,2024-11-21 16:08:16
21,AUTONOMA,online,https://autonomadeica.com,2024-11-21 16:08:16
22,DIPI PRUEBA,offline,http://dipi.autonomadeica.edu.pe:5000,2024-11-21 16:08:16
24,LOGIN AULA VIRTUAL,online,https://aulavirtual.autonomadeica.edu.pe/login/index.php,2024-11-21 16:08:16

ID,Nombre,Fecha de Cambio,Estado Anterior,Estado Actual,Duración (Horas)
2,SIGU Intranet,2024-11-21 00:38:58,online,online,0
2,SIGU Intranet,2024-11-21 00:40:15,online,online,0
2,SIGU Intranet,2024-11-21 00:41:31,online,online,0
2,SIGU Intranet,2024-11-21 00:42:48,online,online,0
2,SIGU Intranet,2024-11-21 00:44:05,online,online,0
2,SIGU Intranet,2024-11-21 00:45:21,online,online,0
2,SIGU Intranet,2024-11-21 00:46:38,online,online,0
2,SIGU Intranet,2024-11-21 00:47:54,online,online,0
2,SIGU Intranet,2024-11-21 00:49:11,online,online,0
2,SIGU Intranet,2024-11-21 00:50:27,online,online,0
2,SIGU Intranet,2024-11-21 00:51:44,online,online,0
2,SIGU Intranet,2024-11-21 00:53:01,online,online,0
2,SIGU Intranet,2024-11-21 00:54:18,online,online,0
2,SIGU Intranet,2024-11-21 00:55:34,online,online,0
2,SIGU Intranet,2024-11-21 00:56:51,online,online,0
2,SIGU Intranet,2024-11-21 00:58:08,online,online,0
2,SIGU Intranet,2024-11-21 00:59:25,online,online,0
2,SIGU Intranet,2024-11-21 01:00:42,online,online,0
2,SIGU Intranet,2024-11-21 01:01:59,online,online,0
2,SIGU Intranet,2024-11-21 01:03:15,online,online,0
2,SIGU Intranet,2024-11-21 01:04:32,online,online,0
2,SIGU Intranet,2024-11-21 01:05:49,online,online,0
2,SIGU Intranet,2024-11-21 01:07:06,online,online,0
2,SIGU Intranet,2024-11-21 01:08:24,online,online,0
2,SIGU Intranet,2024-11-21 01:09:40,online,online,0
2,SIGU Intranet,2024-11-21 01:10:58,online,online,0
2,SIGU Intranet,2024-11-21 01:12:15,online,online,0
2,SIGU Intranet,2024-11-21 01:13:32,online,online,0
2,SIGU Intranet,2024-11-21 01:14:49,online,online,0
2,SIGU Intranet,2024-11-21 01:16:05,online,online,0
2,SIGU Intranet,2024-11-21 01:17:22,online,online,0
2,SIGU Intranet,2024-11-21 01:18:38,online,online,0
2,SIGU Intranet,2024-11-21 01:19:55,online,online,0
2,SIGU Intranet,2024-11-21 01:21:12,online,online,0
2,SIGU Intranet,2024-11-21 01:22:29,online,online,0
2,SIGU Intranet,2024-11-21 01:23:46,online,online,0
2,SIGU Intranet,2024-11-21 01:25:02,online,online,0
2,SIGU Intranet,2024-11-21 01:26:19,online,online,0
2,SIGU Intranet,2024-11-21 01:27:37,online,online,0
2,SIGU Intranet,2024-11-21 01:28:54,online,online,0
2,SIGU Intranet,2024-11-21 01:30:10,online,online,0
2,SIGU Intranet,2024-11-21 01:31:27,online,online,0
2,SIGU Intranet,2024-11-21 01:32:44,online,online,0
2,SIGU Intranet,2024-11-21 01:34:01,online,online,0
2,SIGU Intranet,2024-11-21 01:35:17,online,online,0
2,SIGU Intranet,2024-11-21 01:36:35,online,online,0
2,SIGU Intranet,2024-11-21 01:37:52,online,online,0
2,SIGU Intranet,2024-11-21 01:39:10,online,online,0
2,SIGU Intranet,2024-11-21 01:40:26,online,online,0
2,SIGU Intranet,2024-11-21 01:41:43,online,online,0
2,SIGU Intranet,2024-11-21 01:43:00,online,online,0
2,SIGU Intranet,2024-11-21 01:44:17,online,online,0
2,SIGU Intranet,2024-11-21 01:45:34,online,online,0
2,SIGU Intranet,2024-11-21 01:46:50,online,online,0
